obs_id,id,date_range_start,adopt_type,First_Detected_Domain,adopt_days,vr_type,online_spend,total_spend,dwell_time_median,CR_visit,store_quantity_city,average_open_hours,store_size,Sitemap_Size,rank,tech_spend,category
45,2,2021/8/1,never,2022/2/15,0,8th Wall,42.58681275,3043.777092,23.29681275,1.544103504,1.151376147,11.93141719,5818.051793,6398,423105,"$10,000 ",Business And Industrial
46,2,2021/7/1,never,2022/2/15,0,8th Wall,35.29731801,3564.478659,23.45210728,1.572563311,1.154867257,11.92788725,5864.697318,6398,423105,"$10,000 ",Business And Industrial
47,2,2021/5/1,never,2022/2/15,0,8th Wall,58.03899497,3810.436834,22.72110553,1.646022756,1.137142857,11.96536253,5033.080402,6398,423105,"$10,000 ",Business And Industrial
48,2,2021/4/1,never,2022/2/15,0,8th Wall,43.65678295,3080.741318,30.78875969,1.615374863,1.156950673,11.92607973,6093.620155,6398,423105,"$10,000 ",Business And Industrial
49,2,2021/3/1,never,2022/2/15,0,8th Wall,30.85225941,3259.485816,24.34937238,1.507514805,1.149038462,11.98072325,5669.736402,6398,423105,"$10,000 ",Business And Industrial
50,2,2021/2/1,never,2022/2/15,0,8th Wall,10.74612245,1520.002806,29.24234694,1.131051878,1.088888889,11.97904519,5648.80102,6398,423105,"$10,000 ",Business And Industrial
51,2,2021/1/1,never,2022/2/15,0,8th Wall,18.95616505,1607.431408,34.97815534,0.968652675,1.113513514,11.97122053,5746.980583,6398,423105,"$10,000 ",Business And Industrial
52,2,2022/1/1,never,2022/2/15,0,8th Wall,38.66141361,1312.203927,28.46335079,0.822795554,1.123529412,11.93118923,5371.078534,6398,423105,"$10,000 ",Business And Industrial
53,2,2022/2/1,never,2022/2/15,0,8th Wall,44.165625,1683.678894,25.37019231,1.032109114,1.083333333,11.91826923,5637.072115,6398,423105,"$10,000 ",Business And Industrial
54,2,2022/9/1,adopt,2022/2/15,198 days 00:00:00,8th Wall,38.70889381,2312.252212,32.9380531,1.779973806,1.124378109,11.92398862,5766.075221,6398,423105,"$10,000 ",Business And Industrial
55,2,2022/8/1,adopt,2022/2/15,167 days 00:00:00,8th Wall,39.88890244,2841.634106,28.43495935,1.603844607,1.123287671,11.92973287,6137.906504,6398,423105,"$10,000 ",Business And Industrial
56,2,2022/6/1,adopt,2022/2/15,106 days 00:00:00,8th Wall,50.71681102,3602.538898,38.48031496,2.120595943,1.170506912,11.94417885,6379.622047,6398,423105,"$10,000 ",Business And Industrial
57,2,2022/5/1,adopt,2022/2/15,75 days 00:00:00,8th Wall,51.16024194,2888.849073,36.13306452,1.566909032,1.142857143,11.9233871,7009.995968,6398,423105,"$10,000 ",Business And Industrial
58,2,2022/4/1,adopt,2022/2/15,45 days 00:00:00,8th Wall,43.90055351,2379.46893,28.69926199,1.030980502,1.163090129,11.94082762,6386.97417,6398,423105,"$10,000 ",Business And Industrial
59,2,2022/3/1,adopt,2022/2/15,14 days 00:00:00,8th Wall,42.10294606,2231.162614,31.40456432,0.774724146,1.136792453,11.93479549,5641.136929,6398,423105,"$10,000 ",Business And Industrial
60,2,2022/10/1,adopt,2022/2/15,228 days 00:00:00,8th Wall,31.30796117,1783.789029,36.53398058,1.288204256,1.08994709,11.91868932,5081.378641,6398,423105,"$10,000 ",Business And Industrial
61,2,2020/12/1,never,2022/2/15,0,8th Wall,36.35227273,2781.135331,24.37603306,1.181580269,1.136150235,11.98051948,6076.818182,6398,423105,"$10,000 ",Business And Industrial
62,2,2020/11/1,never,2022/2/15,0,8th Wall,19.13628821,1869.057118,26.51965066,1.133304186,1.145,11.97988147,4952.956332,6398,423105,"$10,000 ",Business And Industrial
63,2,2020/10/1,never,2022/2/15,0,8th Wall,15.80293333,1813.001556,23.77555556,0.81176167,1.136363636,11.98015873,4903.706667,6398,423105,"$10,000 ",Business And Industrial
64,2,2020/9/1,never,2022/2/15,0,8th Wall,11.72969298,2327.303421,27.41008772,1.617957098,1.134328358,11.98010652,5321.070175,6398,423105,"$10,000 ",Business And Industrial
65,2,2020/8/1,never,2022/2/15,0,8th Wall,14.42753425,3227.054178,37.24315068,2.360241756,1.097744361,11.96379648,5693.438356,6398,423105,"$10,000 ",Business And Industrial
66,2,2020/7/1,never,2022/2/15,0,8th Wall,9.520794979,3760.167866,28.47698745,1.553872663,1.154589372,11.97325164,4536.1841,6398,423105,"$10,000 ",Business And Industrial
67,2,2020/6/1,never,2022/2/15,0,8th Wall,7.09837963,3489.102361,26.58796296,1.312713244,1.130890052,11.97850529,4959.587963,6398,423105,"$10,000 ",Business And Industrial
68,2,2020/5/1,never,2022/2/15,0,8th Wall,1.605211268,1262.467606,36.47887324,0.828228623,1.109375,11.97887324,3699.084507,6398,423105,"$10,000 ",Business And Industrial
69,2,2020/3/1,never,2022/2/15,0,8th Wall,0.421105991,1365.247512,28.53917051,0.648151717,1.136125654,11.97959184,6106.299539,6398,423105,"$10,000 ",Business And Industrial
70,2,2020/2/1,never,2022/2/15,0,8th Wall,5.401422925,1695.148696,29.35177866,1.058266953,1.155251142,11.93887634,5345.312253,6398,423105,"$10,000 ",Business And Industrial
71,2,2020/1/1,never,2022/2/15,0,8th Wall,3.193076923,1508.173291,26.8974359,0.651320455,1.130434783,11.93437118,4797.952991,6398,423105,"$10,000 ",Business And Industrial
72,2,2019/12/1,never,2022/2/15,0,8th Wall,4.854044118,2815.725588,31.43198529,1.95182012,1.172413793,11.93568793,5367.893382,6398,423105,"$10,000 ",Business And Industrial
73,2,2019/11/1,never,2022/2/15,0,8th Wall,2.729672131,1775.462869,29.61065574,0.989723808,1.150943396,11.92239859,4883.704918,6398,423105,"$10,000 ",Business And Industrial
74,2,2019/10/1,never,2022/2/15,0,8th Wall,2.086313559,1716.449915,32.98305085,0.929617003,1.162561576,11.92674772,5943.351695,6398,423105,"$10,000 ",Business And Industrial
75,2,2019/8/1,never,2022/2/15,0,8th Wall,3.516217228,3184.109663,27.0505618,1.430776573,1.155844156,11.941058,5610.022472,6398,423105,"$10,000 ",Business And Industrial
76,2,2019/7/1,never,2022/2/15,0,8th Wall,1.505970149,4289.936866,23.89179104,2.334286334,1.170305677,11.92375602,4841.451493,6398,423105,"$10,000 ",Business And Industrial
77,2,2019/6/1,never,2022/2/15,0,8th Wall,8.17247191,3744.815356,26.91011236,1.808051834,1.176211454,11.92346939,4798.644195,6398,423105,"$10,000 ",Business And Industrial
78,2,2019/5/1,never,2022/2/15,0,8th Wall,1.365916031,3780.395573,25.40458015,1.531966068,1.154185022,11.92857143,5580.522901,6398,423105,"$10,000 ",Business And Industrial
79,2,2019/4/1,never,2022/2/15,0,8th Wall,3.512932331,3281.753233,27.01315789,1.750004771,1.166666667,11.94730458,4928.913534,6398,423105,"$10,000 ",Business And Industrial
80,2,2019/3/1,never,2022/2/15,0,8th Wall,1.868838951,2708.08809,24.33895131,1.52712881,1.181415929,11.9703276,5493.310861,6398,423105,"$10,000 ",Business And Industrial
81,2,2019/2/1,never,2022/2/15,0,8th Wall,0,1783.253902,24.51219512,0.756779387,1.108108108,11.98780488,6918.5,6398,423105,"$10,000 ",Business And Industrial
82,2,2019/1/1,never,2022/2/15,0,8th Wall,3.908530612,1518.242612,28.73469388,0.995395839,1.172248804,11.93688047,5721.371429,6398,423105,"$10,000 ",Business And Industrial
83,3,2021/11/1,adopt,2021/7/20,104 days 00:00:00,8th Wall,0,1052.52,19,0.377777778,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
84,3,2021/10/1,adopt,2021/7/20,73 days 00:00:00,8th Wall,0,686.71,38.75,0.378571429,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
85,3,2021/9/1,adopt,2021/7/20,43 days 00:00:00,8th Wall,0,933.225,19.75,0.375,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
86,3,2021/8/1,adopt,2021/7/20,12 days 00:00:00,8th Wall,0,623.83,23.5,0.341063348,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
87,3,2021/7/1,never,2021/7/20,0,8th Wall,0,568.6,11,0.8,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
88,3,2021/5/1,never,2021/7/20,0,8th Wall,0,385.435,20.25,0.504032258,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
89,3,2021/4/1,never,2021/7/20,0,8th Wall,0,347,21,0.526315789,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
90,3,2021/3/1,never,2021/7/20,0,8th Wall,0,171.99,30,0.24137931,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
91,3,2021/2/1,never,2021/7/20,0,8th Wall,0,413.42,34,0.290322581,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
92,3,2021/1/1,never,2021/7/20,0,8th Wall,0,296.14,31.5,0.4,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
93,3,2022/1/1,adopt,2021/7/20,165 days 00:00:00,8th Wall,0,356.67,31,0.050314465,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
94,3,2022/2/1,adopt,2021/7/20,196 days 00:00:00,8th Wall,0,497.03,20,27,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
95,3,2022/9/1,adopt,2021/7/20,408 days 00:00:00,8th Wall,0,4435.235,39,2.736842105,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
96,3,2022/8/1,adopt,2021/7/20,377 days 00:00:00,8th Wall,0,3174.03,15.25,1.238475177,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
97,3,2022/6/1,adopt,2021/7/20,316 days 00:00:00,8th Wall,0,6691.625,25.5,0.595520422,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
98,3,2022/5/1,adopt,2021/7/20,285 days 00:00:00,8th Wall,0,822.04,13.5,0.323763955,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
99,3,2022/4/1,adopt,2021/7/20,255 days 00:00:00,8th Wall,0,313.38,11,0.914285714,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
100,3,2022/3/1,adopt,2021/7/20,224 days 00:00:00,8th Wall,0,200.53,8,9,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
101,3,2022/10/1,adopt,2021/7/20,438 days 00:00:00,8th Wall,0,74.17,16,0.444444444,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
102,3,2020/12/1,never,2021/7/20,0,8th Wall,0,2124.38,39,1.296296296,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
103,3,2020/11/1,never,2021/7/20,0,8th Wall,0,860.99,37,0.547619048,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
104,3,2020/10/1,never,2021/7/20,0,8th Wall,0,611.07,38.5,0.692307692,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
105,3,2020/9/1,never,2021/7/20,0,8th Wall,0,259.355,30,0.479166667,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
106,3,2020/7/1,never,2021/7/20,0,8th Wall,0,473.84,108,1.5,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
107,3,2020/6/1,never,2021/7/20,0,8th Wall,0,282.23,7,0.692307692,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
108,3,2020/5/1,never,2021/7/20,0,8th Wall,0,172.1,10,1,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
109,3,2020/4/1,never,2021/7/20,0,8th Wall,0,148.4,12,0.636363636,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
110,3,2020/3/1,never,2021/7/20,0,8th Wall,0,423.49,12,1.285714286,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
111,3,2020/2/1,never,2021/7/20,0,8th Wall,0,1006.2,9.5,1.35,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
112,3,2020/1/1,never,2021/7/20,0,8th Wall,0,503.61,28,0.390243902,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
113,3,2019/12/1,never,2021/7/20,0,8th Wall,0,4061.76,26.5,1.4375,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
114,3,2019/11/1,never,2021/7/20,0,8th Wall,4.95,1696.48,28.5,1.19047619,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
115,3,2019/10/1,never,2021/7/20,0,8th Wall,0,830.97,36,0.534883721,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
116,3,2019/8/1,never,2021/7/20,0,8th Wall,0,4598.05,15.5,0.298146474,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
117,3,2019/7/1,never,2021/7/20,0,8th Wall,0,4744.985,17.5,0.322433321,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
118,3,2019/6/1,never,2021/7/20,0,8th Wall,0,2362.59,19,0.261707989,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
119,3,2019/5/1,never,2021/7/20,0,8th Wall,0,4503.35,17,0.370247934,1,6.285714286,3688.5,,422900,"$2,000 ",Art And Entertainment
120,3,2019/4/1,never,2021/7/20,0,8th Wall,0,1228.76,28,0.53968254,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
121,3,2019/3/1,never,2021/7/20,0,8th Wall,0,991.72,25,0.467741935,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
122,3,2019/2/1,never,2021/7/20,0,8th Wall,0,611.61,20,0.471698113,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
123,3,2019/1/1,never,2021/7/20,0,8th Wall,0,919.94,31,0.397260274,1,6.285714286,7141,,422900,"$2,000 ",Art And Entertainment
124,4,2021/11/1,adopt,2021/6/12,142 days 00:00:00,8th Wall,0,90996.37,40.5,20.76923077,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
125,4,2021/10/1,adopt,2021/6/12,111 days 00:00:00,8th Wall,23.14,3780.88,8,2.260869565,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
126,4,2021/9/1,adopt,2021/6/12,81 days 00:00:00,8th Wall,0,8260.79,11.5,1.375,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
127,4,2021/8/1,adopt,2021/6/12,50 days 00:00:00,8th Wall,0,8424.91,13.5,2.772727273,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
128,4,2021/7/1,adopt,2021/6/12,19 days 00:00:00,8th Wall,0,7802.29,21,1.608695652,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
129,4,2021/5/1,never,2021/6/12,0,8th Wall,0,9183.15,8,4.636363636,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
130,4,2021/4/1,never,2021/6/12,0,8th Wall,0,7115.32,22.5,5.75,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
131,4,2021/3/1,never,2021/6/12,0,8th Wall,0,8486.18,23,2.75,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
132,4,2021/2/1,never,2021/6/12,0,8th Wall,0,3037.09,46,0.814814815,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
133,4,2021/1/1,never,2021/6/12,0,8th Wall,0,10331.08,20,1.806451613,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
134,4,2022/1/1,adopt,2021/6/12,203 days 00:00:00,8th Wall,0,8241.3,11,7.466666667,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
135,4,2022/2/1,adopt,2021/6/12,234 days 00:00:00,8th Wall,0,4648.7,13,3.25,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
136,4,2022/9/1,abandon,2021/6/12,430 days 00:00:00,8th Wall,49.1,13041.58,9,28.07142857,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
137,4,2022/8/1,adopt,2021/6/12,415 days 00:00:00,8th Wall,0,13514.19,13,11.44827586,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
138,4,2022/6/1,adopt,2021/6/12,354 days 00:00:00,8th Wall,0,7027.84,5.5,12.4,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
139,4,2022/5/1,adopt,2021/6/12,323 days 00:00:00,8th Wall,0,4663.45,21.5,7.333333333,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
140,4,2022/4/1,adopt,2021/6/12,293 days 00:00:00,8th Wall,0,10375.52,31,9.571428571,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
141,4,2022/3/1,adopt,2021/6/12,262 days 00:00:00,8th Wall,0,4747.81,8,12.73333333,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
142,4,2022/10/1,abandon,2021/6/12,430 days 00:00:00,8th Wall,0,14846.11,8,16.40909091,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
143,4,2020/12/1,never,2021/6/12,0,8th Wall,0,32376,20,9.636363636,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
144,4,2020/11/1,never,2021/6/12,0,8th Wall,0,40899.92,52.5,11.38888889,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
145,4,2020/10/1,never,2021/6/12,0,8th Wall,0,4998.22,13.5,1.333333333,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
146,4,2020/9/1,never,2021/6/12,0,8th Wall,0,4955.07,68,0.96969697,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
147,4,2020/8/1,never,2021/6/12,0,8th Wall,0,4569.04,16,1.111111111,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
148,4,2020/7/1,never,2021/6/12,0,8th Wall,0,4095.56,23,1.238095238,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
149,4,2020/6/1,never,2021/6/12,0,8th Wall,0,3916.93,10,1.785714286,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
150,4,2020/5/1,never,2021/6/12,0,8th Wall,0,4831.13,24.5,1.5,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
151,4,2020/4/1,never,2021/6/12,0,8th Wall,0,3279.67,11.5,4.666666667,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
152,4,2020/3/1,never,2021/6/12,0,8th Wall,0,8882.88,116.5,0.6875,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
153,4,2020/2/1,never,2021/6/12,0,8th Wall,0,7017.93,121,0.666666667,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
154,4,2020/1/1,never,2021/6/12,0,8th Wall,0,14012.13,160,0.452631579,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
155,4,2019/12/1,never,2021/6/12,0,8th Wall,0,59817.72,119,2.04,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
156,4,2019/11/1,never,2021/6/12,0,8th Wall,0,55540.55,100,2.305555556,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
157,4,2019/10/1,never,2021/6/12,0,8th Wall,0,14927.28,52,0.872881356,1,10,1540,13536,411189,"$10,000 ",Art And Entertainment
